main,gyear,count_us,count_for,totpool_pre_14,totpool_pre_58,totpool_pre_9p,totpool_ind14,totpool_ind58,totpool_ind9p,totpool_ind912,totpool_ind1316,totpool_ind17p,totpool_ind1720,totpool_ind2124,totpool_ind25p,totpool_pre_ind14,totpool_pre_ind58,totpool_pre_ind9p,totpool_ind15,totpool_ind610,totpool_ind1115,totpool_ind16p,totpat_2070,totpat_2032,dispat_ger_2070,dispat_ger_2032,dispat_aus_2070,dispat_aus_2032,uspat_ger_2070,uspat_ger_2032,uspat_aus_2070,uspat_aus_2032,class_age,class_age2,pre1933_germanclass,treat_us,treat_int_us,treat_dis,treat_int_dis,treat_us_pre33,treat_int_us_pre33,treat_dis_pre33,treat_int_dis_pre33,treat_pre33,count_us_Wcit,count_for_Wcit
008,1944,226,2,0,0,10,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,31,12,7,2,2,0,4,2,2,0,107,11449,1,1,6,1,9,1,2,1,2,1,1318,3
008,1945,195,0,0,0,10,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,108,11664,1,1,6,1,9,1,2,1,2,1,885,0
008,1946,142,0,0,0,10,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,109,11881,1,1,6,1,9,1,2,1,2,1,784,0
008,1947,155,0,0,0,10,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,110,12100,1,1,6,1,9,1,2,1,2,1,825,0
008,1948,107,0,0,0,10,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,111,12321,1,1,6,1,9,1,2,1,2,1,435,0
008,1949,177,0,0,0,10,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,112,12544,1,1,6,1,9,1,2,1,2,1,1511,0
008,1950,272,0,0,0,10,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,113,12769,1,1,6,1,9,1,2,1,2,1,1134,0
008,1951,203,0,0,0,10,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,114,12996,1,1,6,1,9,1,2,1,2,1,1196,0
008,1952,209,1,0,0,10,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,115,13225,1,1,6,1,9,1,2,1,2,1,1047,8
008,1953,196,1,0,0,10,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,116,13456,1,1,6,1,9,1,2,1,2,1,1242,0
008,1954,162,4,0,0,10,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,117,13689,1,1,6,1,9,1,2,1,2,1,978,11
008,1955,129,2,0,0,10,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,118,13924,1,1,6,1,9,1,2,1,2,1,678,1
008,1956,237,3,0,0,10,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,119,14161,1,1,6,1,9,1,2,1,2,1,1511,14
008,1957,183,3,0,0,10,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,120,14400,1,1,6,1,9,1,2,1,2,1,1146,0
008,1958,221,5,0,0,10,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,121,14641,1,1,6,1,9,1,2,1,2,1,1106,7
008,1959,325,12,0,0,10,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,122,14884,1,1,6,1,9,1,2,1,2,1,1907,79
008,1960,275,14,0,0,10,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,123,15129,1,1,6,1,9,1,2,1,2,1,1364,36
008,1961,287,13,0,0,10,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,124,15376,1,1,6,1,9,1,2,1,2,1,1515,66
008,1962,395,15,0,0,10,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,125,15625,1,1,6,1,9,1,2,1,2,1,1595,31
008,1963,389,23,0,0,10,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,126,15876,1,1,6,1,9,1,2,1,2,1,1187,30
008,1964,320,21,0,0,10,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,127,16129,1,1,6,1,9,1,2,1,2,1,940,38
008,1965,352,40,0,0,10,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,128,16384,1,1,6,1,9,1,2,1,2,1,841,68
008,1966,427,31,0,0,10,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,129,16641,1,1,6,1,9,1,2,1,2,1,819,46
008,1967,345,37,0,0,10,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,130,16900,1,1,6,1,9,1,2,1,2,1,367,42
008,1968,309,41,0,0,10,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,131,17161,1,1,6,1,9,1,2,1,2,1,218,19
008,1969,389,38,0,0,10,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,132,17424,1,1,6,1,9,1,2,1,2,1,78,6
008,1970,405,58,0,0,10,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,31,12,7,2,2,0,4,2,2,0,133,17689,1,1,6,1,9,1,2,1,2,1,2,0
012,1920,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,84,7056,1,0,0,0,0,0,0,0,0,0,145,0
012,1921,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,85,7225,1,0,0,0,0,0,0,0,0,0,214,0
012,1922,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,86,7396,1,0,0,0,0,0,0,0,0,0,146,0
012,1923,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,87,7569,1,0,0,0,0,0,0,0,0,0,134,0
012,1924,268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,88,7744,1,0,0,0,0,0,0,0,0,0,201,0
012,1925,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,89,7921,1,0,0,0,0,0,0,0,0,0,245,0
012,1926,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,90,8100,1,0,0,0,0,0,0,0,0,0,249,0
012,1927,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,91,8281,1,0,0,0,0,0,0,0,0,0,281,0
012,1928,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,92,8464,1,0,0,0,0,0,0,0,0,0,327,0
